DTCR I5_OHLC_NE Gold_OHLC_NE BT_OHLC_NE DJIA_OHLC_NE SSECI_OHLC_NE FTSE100_OHLC_NE BVSP_OHLC_NE BSESN_OHLC_NE Nickel_OHLC_NE NIKKEI225_OHLC_NE VIX_OHLC_NE
15.08.2005 55321.96308 443.75 64.8525 10568.064 1171.568 5312.73 27113.6 7811.008 15237 12294.1915 13.0975
22.08.2005 57485.812 440.04 65.559 10494.5865 1160.7585 5284.98 26987.85 7680.9055 15098 12450.0145 13.71
29.08.2005 60271.74872 438.76 66.5815 10441.7695 1164.701 5283.105 27743.95 7775.649 15093 12457.738 13.391
05.09.2005 60402.55712 446.395 63.334 10568.923 1189.4395 5350.07 28729.35 7974.56 15041 12618.4585 12.947
12.09.2005 61069.80704 452.015 61.7335 10606.845 1205.4995 5365.135 29201.85 8210.412 14199 12893.948 12.1715
19.09.2005 67362.78024 466.435 63.1735 10472.743 1191.3715 5402.15 30428.95 8379.8805 13695 13096.397 13.0155
26.09.2005 69600.17812 467.195 62.394 10484.262 1146.1975 5465.44 31183.95 8543.931 13534 13438.8745 12.7015
03.10.2005 69760.2586 468.585 59.4955 10409.025 1155.61 5442.85 30669.25 8663.5075 13248 13525.251 13.6565
10.10.2005 66489.816 476.46 58.3895 10246.922 1151.0495 5337.985 30197.55 8452.9445 12571 13420.938 15.6735
17.10.2005 62096.21052 469.995 57.6665 10313.8615 1135.669 5221.075 29317.4 8078.4705 12083 13269.724 15.12
24.10.2005 62638.87136 472.44 58.661 10332.0255 1112.118 5195.495 29504.5 7922.771 11800 13309.6405 14.9995
31.10.2005 66437.10588 464.245 59.2315 10466.6915 1093.7375 5353.19 30591.05 7955.8355 11628 13823.738 13.987
07.11.2005 67792.00368 464.255 57.0995 10582.1035 1099.258 5448.305 30778.9 8287.637 11880 14072.1255 12.71
14.11.2005 68896.19988 476.435 54.5495 10704.1775 1093.3935 5456.745 30565.25 8570.7715 11848 14248.2105 11.8975
21.11.2005 71874.45668 491.095 53.8435 10869.7765 1110.25 5513.745 31571.45 8667.857 12641 14725.8675 10.929
28.11.2005 74149.66656 498.6 53.715 10888.5635 1101.545 5482.175 32002.4 8931.843 12769 15024.5325 11.6145
